# Accelerometer Data File
# Started @Wed Jul 20 22:08:40 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-0.689 5.326 6.317 0
-0.491 4.819 4.901 9
-0.261 4.51 4.265 11
-0.2 4.085 3.872 9
-0.189 3.555 3.425 11
-0.118 3.252 3.074 9
-0.149 2.806 2.835 10
-0.126 2.361 2.612 11
-0.113 1.875 2.489 9
-0.171 1.308 2.653 10
-0.317 1.41 2.741 10
-0.527 1.691 2.64 10
-0.75 1.807 2.436 10
-0.615 1.704 2.011 10
-0.312 1.507 1.517 10
-0.005 1.288 0.969 10
0.184 1.047 0.536 10
0.252 0.942 0.129 11
0.279 1.046 -0.021 9
-0.145 0.915 0.704 10
-0.432 0.781 1.151 11
-0.587 0.832 1.087 9
-0.442 1.05 0.737 11
-0.139 1.178 0.422 10
0.15 1.181 0.285 9
0.273 1.123 0.506 10
0.34 1.028 0.99 10
0.409 0.968 1.219 11
0.377 0.656 1.433 9
0.063 0.185 1.333 10
-0.123 -0.126 1.156 11
0.087 -0.035 1.066 9
0.319 0.252 1.115 10
0.451 0.442 1.305 10
0.371 0.32 1.511 11
0.205 0.055 1.799 9
0.038 -0.225 1.86 11
-0.068 -0.254 1.476 10
-0.139 -0.151 0.501 9
-0.298 0.061 -0.427 10
-0.328 0.391 -1.298 10
0.023 0.619 -1.66 10
0.348 0.669 -1.804 10
0.554 0.68 -1.511 10
0.645 0.612 -1.067 10
0.4 0.352 -0.607 10
0.032 0.317 0.349 11
-0.117 0.501 1.116 9
-0.062 0.649 0.996 11
0.176 0.541 0.232 9
0.434 0.194 -0.324 11
0.632 -0.187 -0.525 10
0.759 -0.315 -0.464 9
0.614 -0.102 -0.219 11
0.44 0.088 -0.326 9
0.319 0.174 -0.957 11
