# Accelerometer Data File
# Started @Mon Jul 18 22:39:18 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
0.732 3.309 7.369 0
0.676 4.59 7.192 10
-0.339 4.114 5.628 10
-1.253 3.745 4.324 10
-1.084 3.767 3.642 10
-0.217 3.097 3.7 10
0.165 2.589 2.916 10
0.157 2.425 2.866 10
0.461 2.424 2.769 10
0.328 2.121 2.388 10
0.244 1.737 2.193 10
0.185 1.485 2.49 9
0.209 1.328 2.888 10
-0.043 0.98 3.073 10
-0.194 0.959 2.748 11
-0.114 0.82 2.155 9
-0.06 0.936 1.112 11
-0.045 1.248 0.345 10
-0.222 1.183 0.302 10
-0.096 1.082 0.229 10
0.249 0.836 0.706 9
0.551 0.623 0.773 10
0.634 0.578 0.928 10
0.571 0.572 0.741 10
0.539 0.592 0.52 11
0.511 0.645 0.356 10
0.331 0.537 0.208 10
0.16 0.561 0.343 9
0.239 0.626 0.412 11
0.249 0.529 0.112 10
0.31 0.433 0.195 10
0.495 0.32 0.21 10
0.445 0.133 0.138 10
0.34 -0.086 0.193 10
0.289 0.12 0.225 10
0.139 0.34 -0.046 10
-0.468 0.168 -0.137 10
-0.465 0.022 0.204 10
-0.108 -0.013 0.097 10
-0.312 -0.133 0.208 10
-0.385 -0.111 0.497 9
-0.217 -0.212 0.646 11
-0.014 -0.277 0.616 10
-0.254 -0.361 0.347 10
-0.409 -0.23 0.39 10
-0.42 -0.147 0.523 10
-0.447 -0.011 0.592 10
-0.454 0.041 0.455 10
-0.34 -0.049 0.349 10
-0.314 -0.07 0.099 10
-0.291 -0.226 -0.134 10
-0.374 -0.161 -0.276 10
-0.354 -0.093 -0.49 9
-0.284 -0.066 -0.734 11
-0.247 -0.034 -0.816 9
-0.171 0.02 -0.82 11
0.061 0.199 -0.652 10
0.245 0.3 -0.5 10
0.22 0.244 -0.123 10
-0.198 0.065 0.345 10
-0.626 -0.148 0.552 10
-0.581 -0.236 0.747 10
-0.479 -0.221 0.888 9
-0.38 -0.096 0.652 11
-0.255 0.0 0.415 9
0.036 0.034 0.399 11
0.179 0.091 0.118 10
0.015 0.004 0.175 10
-0.012 0.021 0.33 10
-0.114 -0.118 0.322 9
-0.189 -0.106 0.29 11
-0.04 -0.113 0.028 10
0.075 -0.136 -0.318 10
0.343 0.213 -0.295 9
0.49 0.286 -0.248 11
0.665 0.154 -0.456 10
0.736 0.156 -0.54 9
0.68 0.123 -0.399 10
0.577 -0.121 -0.084 11
0.442 -0.169 0.208 10
0.277 -0.161 0.213 9
0.103 -0.283 0.028 10
-0.01 -0.341 -0.077 10
-0.104 -0.41 -0.087 11
-0.188 -0.421 0.111 9
-0.049 -0.344 -0.175 10
-0.07 -0.258 0.005 10
0.048 -0.103 0.004 11
0.199 -0.549 0.271 10
0.187 -0.744 0.744 10
0.091 -0.351 0.592 9
-0.227 -0.135 0.214 10
-0.429 0.0 -0.074 11
-0.325 0.024 -0.066 10
0.103 -0.072 0.336 9
0.394 -0.09 0.362 10
0.527 -0.09 -0.121 10
0.733 0.203 -0.85 11
0.384 0.165 -0.61 10
-0.18 -0.333 -0.04 9
-0.153 -0.084 0.178 10
-0.258 0.457 -0.201 11
-0.163 0.412 0.137 10
-0.035 0.293 -0.1 9
0.183 0.255 -0.21 10
0.518 0.074 -0.353 11
0.251 0.17 -0.292 10
-0.032 0.317 0.038 10
0.194 0.104 0.414 10
0.235 0.12 0.596 9
0.039 -0.004 0.338 10
-0.127 0.03 0.158 11
-0.141 0.131 0.763 10
-0.178 -0.071 0.781 10
0.14 -0.038 0.634 9
0.506 -0.017 0.441 11
0.291 -0.472 -0.102 10
0.443 -0.39 -0.135 9
0.528 -0.015 -0.466 11
0.372 -0.203 -0.893 9
0.326 -0.872 -0.649 11
1.233 -0.871 -0.196 10
0.437 -0.189 -1.443 10
-0.226 -0.274 0.545 10
0.08 -0.419 0.352 10
0.658 -0.239 0.076 10
-0.01 0.068 -0.629 10
-1.345 -0.653 -1.661 10
-1.65 -0.984 -1.417 10
-0.615 1.846 0.835 10
-0.096 1.704 0.571 10
0.162 0.25 1.022 10
0.422 -0.904 1.222 10
0.871 -0.882 1.323 10
1.198 -0.578 1.286 10
0.992 -0.693 1.674 10
0.832 -0.684 1.567 10
0.49 -0.641 0.574 10
0.527 -0.586 0.336 10
0.466 -0.656 -0.257 10
0.307 -1.142 -0.645 10
0.285 -1.571 -1.02 10
0.575 -1.035 -0.599 10
0.776 0.326 -0.108 10
0.776 1.078 -0.08 9
0.673 1.211 -0.408 10
0.873 1.323 -1.246 11
1.449 1.061 -0.829 9
2.002 0.766 -0.254 10
2.173 0.189 -0.315 11
1.912 -0.562 -0.551 10
1.092 -1.083 -1.047 10
0.241 -1.052 -1.52 10
-0.153 -0.654 -1.73 10
-0.249 -0.157 -1.557 10
-0.224 0.538 -0.927 10
0.004 1.01 0.009 10
0.236 0.728 0.37 10
0.161 -0.3 -0.079 10
0.015 -1.012 -0.02 10
-0.071 -0.66 0.266 10
-0.331 0.18 0.075 10
-0.272 0.74 -0.914 10
-0.409 1.252 -1.753 10
-0.963 1.351 -1.681 10
-1.599 0.974 -1.099 10
-1.508 -0.768 -0.783 10
0.116 -3.07 -0.954 10
1.975 -6.745 -0.143 9
-0.015 -3.537 0.206 11
-1.013 -1.83 -1.994 10
-0.826 -3.19 -2.243 10
-0.01 -4.431 -1.32 10
1.196 -4.151 -0.809 10
2.421 -3.314 -1.262 10
2.989 -3.025 -2.265 10
3.432 -2.869 -2.22 10
3.554 -2.548 -1.179 10
3.052 -2.241 -1.63 10
2.798 -2.241 -2.63 10
2.613 -2.189 -2.221 10
4.033 -2.134 -0.982 20
4.896 -1.731 -0.116 10
5.751 -1.541 -0.148 10
6.426 -1.585 -0.891 10
7.429 -1.961 -1.793 10
6.962 -1.739 -2.071 10
5.499 -0.824 -2.665 9
4.509 -0.784 -2.993 10
3.877 -0.93 -2.194 10
3.877 -0.509 -2.225 10
3.878 0.204 -1.597 10
4.722 0.33 -1.222 11
5.319 -0.253 -1.117 10
5.338 -0.487 -0.186 9
4.968 0.397 -0.211 11
4.799 1.262 -0.793 10
4.56 1.653 -0.963 10
4.13 1.936 -0.884 10
3.519 2.208 -0.667 10
2.762 2.323 -0.238 10
1.831 2.151 0.466 10
1.061 1.66 1.247 10
0.455 1.27 1.717 10
-0.391 0.988 1.338 10
-1.49 0.613 0.868 10
-2.263 0.224 0.307 10
-2.907 0.073 0.035 10
-3.392 0.048 -0.105 10
-3.639 0.0 -0.69 10
-3.447 -0.154 -1.008 9
-3.18 -0.82 -1.761 10
-2.974 -1.324 -1.559 11
-2.375 -1.639 0.363 10
-2.56 -1.958 -0.422 10
-3.51 -2.34 -0.957 9
-3.969 -2.209 -0.241 11
-4.012 -1.342 1.463 10
-4.438 -0.32 -0.648 10
-4.331 -0.969 -1.996 10
-3.872 -2.096 0.271 9
-3.726 -2.515 1.899 11
-4.008 -1.79 1.907 10
-3.599 -0.809 1.854 10
-2.67 -0.22 1.393 9
-1.886 -0.637 0.823 10
-1.464 -0.953 2.283 11
-1.111 -0.245 3.037 9
-0.664 -0.04 2.225 11
-0.356 -0.113 1.744 9
0.42 -0.317 2.69 10
0.033 -0.268 3.24 10
-0.133 0.749 2.286 10
0.302 1.648 1.136 10
1.495 1.259 0.246 11
1.803 0.09 1.066 10
0.847 -0.521 2.158 10
0.193 0.823 2.924 10
0.863 2.568 -2.125 10
1.328 3.561 -8.075 10
1.178 0.8 -3.113 10
0.112 -0.986 1.602 10
-0.881 -2.128 2.14 10
-1.379 -0.855 0.426 10
-1.034 -0.011 -0.917 10
-0.189 -1.019 -0.696 10
-0.334 -0.822 -0.247 10
-0.973 -0.438 -0.55 10
-1.298 -0.696 -1.831 10
-1.159 -1.117 -2.424 10
-0.673 -1.755 -2.371 10
0.023 -1.838 -2.151 10
0.917 -1.956 -2.272 10
1.627 -0.399 -2.553 10
2.067 -0.79 -2.039 10
2.033 -0.806 -1.792 10
1.123 -1.561 -0.992 10
0.407 -1.258 -0.634 10
1.194 -1.089 -0.062 10
2.152 -1.385 -0.116 10
3.135 -2.471 -0.596 10
3.442 -3.715 -0.752 10
3.511 -4.093 -0.194 10
2.41 -3.477 -0.864 10
1.307 -3.508 1.695 10
0.194 -1.58 0.862 10
-1.264 -0.698 -3.792 10
-3.154 -0.473 -6.507 10
-4.382 0.771 -6.045 10
-4.53 1.108 -4.493 10
-4.215 1.799 -3.311 10
-3.155 2.213 -1.816 10
-1.478 1.596 0.209 10
-0.209 -1.338 3.127 10
0.138 -1.73 3.349 10
0.503 -0.032 -0.528 10
0.755 0.927 -3.578 10
0.326 1.197 -2.565 10
-0.628 0.456 -1.636 10
-1.134 -0.088 -1.507 10
-0.84 -0.416 -2.537 10
-0.773 -0.908 -3.507 10
-1.161 -2.085 -3.113 10
-1.234 -1.514 0.938 10
-1.999 -0.845 3.464 10
-1.109 -0.226 3.721 10
0.207 0.924 2.099 10
1.152 0.711 1.45 10
1.011 1.218 1.141 10
0.194 1.69 0.044 10
-0.117 1.702 -1.114 10
-0.536 1.48 -0.305 10
-1.06 0.996 0.414 10
-0.963 1.431 0.735 10
-0.884 2.029 0.739 10
-0.45 2.274 0.355 10
0.464 2.314 0.112 10
1.305 1.712 0.351 10
1.399 1.325 1.109 10
1.354 0.494 1.644 10
1.787 0.255 2.178 10
1.919 0.307 2.072 10
2.072 0.052 0.813 10
2.045 0.78 0.163 10
1.332 0.883 -0.094 10
-0.429 -0.23 -1.127 10
-1.308 -0.914 -0.756 10
-1.402 -0.857 0.75 10
-1.167 -1.013 1.959 10
-1.024 -0.687 1.004 10
-0.896 -0.015 -0.586 10
-0.349 0.296 -0.079 10
0.331 -0.052 1.315 10
2.392 -4.244 3.52 10
3.532 -6.526 5.702 10
0.817 -4.537 2.451 10
-2.659 -2.049 -4.094 10
-3.79 -0.543 -4.202 10
-4.298 -0.308 0.105 10
-3.472 -0.837 0.275 10
-3.495 -2.046 0.42 10
-2.465 -1.083 0.171 10
-0.727 0.757 -1.457 10
0.241 0.776 -1.768 10
1.182 -1.05 -1.255 10
1.426 -0.351 0.542 10
1.231 -0.815 -0.175 10
1.531 2.153 -0.02 10
0.266 1.98 -0.19 10
-0.269 1.653 -0.412 10
0.516 1.35 -0.319 10
3.386 -0.448 1.427 10
5.004 -3.006 1.638 10
3.771 -4.455 0.008 10
1.222 -2.837 -0.483 10
-1.58 -0.45 -1.667 10
-6.085 -0.836 -6.698 10
-10.424 -1.037 -11.837 10
-7.916 2.444 -3.939 10
-5.03 3.415 1.97 10
-3.2 2.815 3.549 10
0.671 2.947 3.599 10
0.888 1.851 2.722 10
0.627 1.355 1.484 10
-0.487 0.711 0.939 10
-0.921 -0.014 1.173 10
-0.372 -0.202 0.892 10
-0.343 -0.621 1.328 10
-1.645 1.327 0.084 12
-2.428 1.781 -0.062 18
-2.996 2.628 -0.168 10
-3.748 2.762 0.727 10
-4.131 3.003 1.249 10
-4.373 1.849 1.185 10
-4.875 -0.257 0.808 10
-3.586 -0.283 0.141 10
0.504 -5.779 1.549 10
-0.184 -9.787 4.669 10
-4.957 -13.006 4.314 10
-12.529 -11.722 -9.778 10
-16.56 -10.55 -11.032 10
-12.464 -9.495 -2.56 10
-4.495 -5.115 -0.364 10
-2.011 3.558 -1.828 10
-1.362 6.331 -1.696 10
-1.208 5.948 0.256 10
-1.363 4.517 1.343 10
-1.468 3.488 1.596 10
-1.709 2.915 1.73 10
-2.469 1.968 1.806 10
-3.153 0.961 1.54 10
-3.889 -0.444 0.894 10
-4.716 -1.899 -0.461 10
-5.364 -1.951 -1.242 10
-4.664 -1.523 -0.816 10
-1.879 -0.345 -2.476 10
0.669 -0.595 -2.952 10
1.585 -1.716 -2.183 10
2.625 -2.312 -0.982 10
3.595 -1.796 -0.375 10
4.123 -0.866 0.532 10
3.935 0.486 1.478 10
3.541 1.541 1.606 10
3.282 2.455 1.584 10
2.885 3.192 1.779 10
2.665 3.373 1.704 10
2.338 3.493 0.913 10
2.07 3.548 0.227 10
1.716 3.435 -0.269 10
1.226 3.126 -0.69 10
1.043 2.96 -0.992 10
1.154 2.974 -1.211 10
1.021 2.866 -1.349 10
0.79 2.683 -1.266 10
0.607 2.587 -1.087 10
0.503 2.294 -0.651 10
0.531 1.944 -0.31 10
0.814 1.758 -0.296 10
1.034 1.504 -0.422 10
0.818 0.621 -0.457 10
0.564 -0.173 -0.204 10
0.301 -0.888 -0.063 10
-0.09 -2.014 0.002 10
-0.754 -3.476 -0.557 10
-1.273 -4.758 -1.329 10
-1.464 -5.506 -1.756 10
-1.663 -5.998 -1.434 10
-1.177 -5.329 -1.842 10
