# Accelerometer Data File
# Started @Wed Jul 20 19:49:50 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
1.344 4.654 7.352 0
1.106 4.326 6.496 9
0.918 4.049 5.855 10
0.766 3.635 5.243 11
0.681 3.246 4.676 9
0.475 2.938 4.225 10
0.263 2.765 3.794 10
0.073 2.566 3.346 11
-0.063 2.353 2.934 9
-0.272 2.186 2.623 10
-0.382 2.105 2.404 10
-0.301 1.929 2.637 10
-0.366 1.547 2.908 10
-0.372 1.271 2.833 10
-0.18 1.17 2.558 10
0.044 1.096 2.112 10
0.178 1.073 1.565 10
0.367 0.991 1.029 10
0.442 0.823 0.676 10
0.553 0.792 0.703 10
0.429 0.722 0.426 10
0.231 0.598 0.177 10
0.018 0.581 0.004 11
0.033 0.661 -0.185 9
0.116 0.655 -0.106 10
0.156 0.521 0.05 10
0.166 0.391 0.183 10
0.184 0.334 0.251 11
0.174 0.258 0.217 9
0.114 0.198 0.118 10
0.128 0.212 0.02 10
0.184 0.26 -0.076 10
0.235 0.242 -0.232 11
0.091 0.166 -0.131 9
-0.168 0.184 -0.161 11
-0.237 0.252 -0.025 9
-0.239 0.218 0.261 10
-0.344 0.17 0.451 10
-0.25 0.127 0.578 11
-0.052 0.02 0.658 10
0.15 -0.119 0.618 9
0.247 -0.142 0.504 10
0.188 -0.058 0.351 10
0.1 0.015 0.272 10
0.038 -0.037 0.357 10
-0.042 -0.094 0.364 10
-0.021 -0.075 0.319 10
0.058 0.017 0.322 10
0.233 0.059 0.41 10
0.339 -0.101 0.438 11
0.443 -0.212 0.472 9
0.425 -0.208 0.537 11
0.399 -0.187 0.414 9
0.394 -0.211 0.2 10
0.354 -0.19 0.025 10
0.276 -0.145 -0.08 10
0.145 -0.105 -0.072 10
0.113 -0.12 -0.056 10
0.119 -0.177 0.043 11
0.124 -0.254 0.056 9
0.086 -0.203 -0.017 10
0.12 -0.062 -0.3 10
0.35 0.012 -0.779 10
0.513 -0.074 -0.916 10
0.41 -0.101 -0.799 10
0.222 0.02 -0.624 10
0.002 0.078 -0.32 10
-0.23 0.045 -0.047 10
-0.293 0.049 0.009 10
-0.186 0.139 -0.138 10
0.038 0.271 -0.167 10
0.25 0.261 -0.202 10
0.389 0.304 -0.233 10
0.436 0.394 -0.081 10
0.358 0.441 -0.038 10
0.158 0.518 -0.095 10
0.004 0.362 -0.309 10
-0.09 0.162 -0.287 10
-0.029 0.155 -0.43 10
0.274 0.268 -0.163 10
0.264 0.155 0.266 11
-0.011 -0.014 0.136 9
-0.182 0.055 -0.153 10
-0.13 0.23 -0.43 10
-0.108 0.268 -0.749 10
-0.175 0.172 -0.898 11
-0.183 0.129 -0.809 9
-0.13 0.142 -0.469 10
-0.031 0.128 -0.164 10
-0.097 0.011 -0.052 10
-0.311 -0.144 -0.116 10
-0.409 -0.207 -0.268 10
-0.342 -0.152 -0.543 10
-0.239 -0.076 -0.859 10
-0.224 0.025 -0.937 10
-0.296 0.117 -0.947 10
-0.301 0.244 -0.912 10
-0.383 0.219 -0.571 10
-0.439 0.12 -0.29 10
-0.335 0.202 -0.226 10
-0.267 0.329 -0.316 10
-0.301 0.356 -0.465 10
-0.271 0.45 -0.651 10
-0.123 0.594 -0.75 10
-0.119 0.655 -0.64 10
-0.46 0.495 -0.378 10
-0.776 0.446 -0.125 10
-0.75 0.478 0.206 10
-0.434 0.405 0.358 10
-0.097 0.244 0.287 10
0.153 0.021 0.052 10
0.525 0.027 0.15 10
0.455 0.119 -0.062 10
0.177 0.271 0.003 10
-0.193 0.356 -0.074 10
-0.243 0.372 0.148 10
0.005 0.249 0.168 10
-0.124 -0.18 -0.538 10
0.146 -0.369 -0.717 10
0.295 -0.384 -0.653 10
-0.208 -0.371 -0.709 10
-0.781 -0.274 -0.957 10
-1.005 -0.169 -0.645 10
-0.835 -0.092 -0.288 10
-0.416 0.037 0.145 10
0.116 -0.06 0.829 10
0.182 -0.321 1.392 10
0.078 -0.272 1.615 11
0.285 0.082 1.807 9
0.317 0.16 2.109 10
0.208 0.058 1.984 10
0.058 0.224 1.475 10
-0.171 0.434 1.397 10
-0.473 0.512 1.257 10
-0.581 0.512 1.174 10
-0.626 0.478 1.04 10
-0.546 0.447 0.711 11
-0.104 0.368 0.597 9
0.216 0.124 0.718 10
0.556 -0.068 0.655 10
0.544 -0.147 0.598 10
0.239 -0.133 0.737 10
-0.042 -0.059 0.309 10
-0.245 -0.027 -0.074 10
-0.479 0.052 -0.36 10
-0.62 0.047 -0.737 10
-0.774 0.146 -1.034 10
-0.593 0.131 -1.06 10
-0.361 -0.01 -0.894 10
-0.118 -0.113 -0.977 11
0.039 -0.274 -0.931 9
-0.093 -0.341 -0.648 10
-0.222 -0.333 -0.574 10
-0.251 -0.058 -0.482 10
-0.01 -0.078 -0.098 10
0.093 -0.217 -0.2 10
0.222 -0.178 0.215 10
0.105 -0.143 -0.133 10
0.016 -0.206 -0.068 10
-0.217 -0.151 0.378 10
-0.505 0.139 0.771 10
-0.317 0.694 0.702 10
0.145 0.685 0.072 10
0.32 0.203 -0.503 10
0.417 -0.532 -0.944 10
0.841 -1.013 -0.858 10
0.601 -1.058 -0.669 10
0.033 -1.004 -0.214 10
-0.245 -0.861 0.487 10
-0.169 -0.318 0.576 10
-0.161 0.023 -0.058 10
0.096 0.081 -0.087 10
0.112 -0.219 -0.698 10
0.118 -0.283 -0.965 10
0.313 -0.143 -0.747 10
0.428 -0.223 -0.569 10
0.273 -0.365 -0.383 10
0.108 -0.423 -0.258 10
-0.066 -0.2 0.215 10
-0.231 -0.171 0.805 10
-0.329 -0.24 0.983 10
-0.244 -0.337 0.936 10
-0.039 -0.51 0.972 10
0.223 -0.467 0.746 10
0.502 -0.412 0.404 10
0.71 -0.371 0.355 10
0.7 -0.316 0.767 10
0.621 -0.311 0.872 10
0.438 -0.202 0.836 10
0.343 -0.078 0.718 10
0.463 -0.079 0.405 10
0.572 -0.062 0.106 10
0.558 0.003 -0.007 10
0.416 -0.065 -0.136 10
0.09 -0.317 -0.346 10
-0.134 -0.173 -0.372 10
-0.034 0.102 -0.093 10
0.425 -0.08 0.484 10
0.495 -0.399 0.909 10
0.497 -0.411 1.103 10
0.421 -0.077 0.932 10
0.026 0.171 0.322 10
-0.14 0.154 -0.106 10
-0.048 0.397 -0.207 10
0.008 0.556 -0.29 10
0.136 0.422 -0.114 10
0.657 0.199 0.594 10
0.962 0.11 0.724 10
0.995 -0.098 0.867 10
0.783 -0.381 1.177 10
0.472 -0.334 0.982 10
0.502 -0.129 0.849 10
0.737 -0.038 0.833 10
0.783 -0.008 0.56 10
0.541 -0.033 0.245 10
0.366 -0.047 -0.252 10
0.313 -0.258 -0.684 10
0.419 -0.146 -0.943 10
0.636 0.083 -1.469 10
0.589 0.411 -1.469 10
0.22 0.516 -1.434 10
0.164 0.491 -1.618 10
0.139 0.002 -1.818 10
-0.202 -0.247 -2.136 10
-0.432 -0.042 -1.638 10
-0.923 0.186 -0.578 10
-1.244 0.029 0.255 10
-0.921 -0.119 0.333 11
-0.088 0.064 0.153 9
0.575 0.299 -0.077 10
0.595 0.26 -0.448 10
0.044 0.036 -0.705 10
-0.296 -0.191 -0.609 10
-0.387 -0.06 -0.229 10
-0.693 -0.028 0.293 10
-0.856 -0.206 0.643 10
-0.598 -0.289 0.639 10
-0.331 -0.277 0.342 10
-0.238 -0.241 -0.053 10
-0.24 -0.122 -0.487 10
-0.216 -0.066 -1.059 10
-0.048 -0.034 -1.091 10
-0.017 -0.142 -1.008 10
-0.144 -0.206 -0.967 10
-0.19 -0.211 -1.129 10
-0.499 -0.267 -0.671 10
-0.794 -0.301 -0.173 10
-0.637 -0.435 -0.156 10
-0.332 -0.512 -0.071 10
0.011 -0.46 -0.245 11
0.001 -0.389 -0.341 9
-0.101 -0.298 -0.393 10
0.003 -0.242 -0.414 10
-0.109 -0.183 -0.364 10
-0.124 -0.139 -0.078 10
-0.111 -0.22 0.429 10
-0.333 -0.457 0.352 10
-0.351 -0.506 0.179 10
-0.023 -0.403 0.118 10
0.263 -0.173 -0.238 10
0.245 -0.044 -0.593 10
0.108 -0.039 -0.818 10
-0.013 0.153 -0.797 10
0.108 0.284 -0.64 10
0.148 0.299 -0.558 10
0.047 0.441 -0.451 10
-0.008 0.526 -0.328 10
0.207 0.396 -0.295 10
0.523 0.107 -0.576 11
0.677 0.018 -0.329 9
0.299 0.258 0.005 10
-0.325 0.473 -0.107 10
-0.602 0.659 0.3 10
-0.714 0.817 0.899 10
-0.858 0.804 1.697 10
-0.764 0.655 2.958 10
-0.213 0.468 4.412 10
0.109 0.353 4.91 10
0.417 0.171 5.074 10
0.858 -0.044 4.79 10
0.711 -0.1 3.786 10
0.089 0.194 2.709 10
-0.764 0.812 2.033 10
-1.446 0.981 1.726 10
-1.577 0.736 2.407 10
-1.144 0.499 2.735 10
-0.736 0.311 2.418 10
0.061 0.202 2.176 10
0.787 0.191 1.424 10
0.958 0.077 0.575 10
0.862 0.009 -0.361 10
0.767 0.025 -1.212 10
0.665 0.005 -2.056 10
0.391 -0.037 -2.583 10
0.068 -0.275 -3.101 10
0.19 -0.299 -2.877 10
-0.043 -0.45 -2.529 10
-0.349 -0.819 -2.362 10
-0.142 -0.909 -1.634 10
-0.093 -0.663 -1.35 10
-0.101 -0.528 -1.793 10
0.081 -0.665 -1.846 10
0.09 -0.917 -1.644 10
-0.272 -0.903 -1.842 10
-0.572 -0.726 -1.847 10
-0.739 -0.464 -1.955 11
-0.803 -0.28 -2.001 9
-0.757 -0.346 -1.741 10
-0.862 -0.441 -1.748 10
-0.793 -0.44 -1.495 10
-0.343 -0.284 -1.165 10
0.207 -0.187 -0.867 10
0.6 -0.099 -0.832 10
0.868 -0.184 -0.99 10
0.824 -0.381 -0.969 10
0.285 -0.679 -1.01 10
0.17 -0.568 -0.995 10
0.343 -0.287 -0.542 10
0.231 -0.077 -0.574 10
0.173 -0.043 -0.801 10
0.199 -0.211 -0.781 11
0.36 -0.311 -0.746 9
0.445 -0.219 -0.551 10
0.374 0.043 0.124 10
0.345 0.22 0.68 11
0.225 0.111 0.681 9
-0.124 -0.166 0.441 10
-0.207 -0.21 0.578 11
-0.255 -0.042 0.477 9
-0.135 0.263 0.214 10
-0.078 0.4 0.545 10
-0.458 0.283 1.077 10
-0.783 0.28 1.84 10
-0.61 0.562 2.854 10
-0.195 1.084 3.318 10
0.142 1.449 3.59 10
0.412 1.649 3.429 10
0.673 1.829 2.983 10
0.924 1.861 2.607 10
1.013 1.848 2.096 10
0.877 1.775 1.455 10
0.729 1.175 0.784 11
0.57 1.643 0.843 9
0.358 2.151 1.664 10
0.098 2.16 2.325 10
-0.058 1.944 2.489 10
-0.104 1.784 2.369 10
0.035 1.339 2.382 10
0.23 0.86 2.204 10
0.483 0.239 1.708 11
0.977 -0.499 1.046 9
0.983 -0.966 0.191 10
0.798 -1.137 -0.878 10
0.675 -1.126 -1.997 10
0.323 -0.953 -2.901 10
-0.165 -0.711 -3.628 10
-0.752 -0.545 -4.153 10
-1.125 -0.439 -4.056 10
-1.047 -0.568 -3.538 10
-0.692 -0.864 -3.193 10
-0.269 -1.166 -2.908 11
0.015 -1.247 -2.781 9
0.212 -1.269 -2.83 10
0.311 -1.323 -2.677 11
0.306 -1.354 -2.633 9
0.017 -1.383 -2.49 11
-0.527 -1.262 -2.233 9
-0.681 -0.98 -2.32 10
-0.742 -0.934 -1.993 10
-0.832 -1.202 -1.578 10
-0.938 -1.315 -1.498 10
-1.034 -1.063 -1.469 10
-1.163 -0.741 -1.313 10
-1.15 -0.624 -1.001 11
-1.104 -0.535 -0.651 9
-0.925 -0.335 -0.241 10
-0.815 -0.147 0.058 10
-0.656 -0.037 0.492 10
-0.099 -0.266 0.253 10
-0.072 -0.213 0.667 10
0.064 -0.089 0.635 10
0.29 -0.062 0.813 10
0.468 0.081 0.731 10
0.387 0.348 0.684 10
0.27 0.667 0.891 10
0.174 1.074 1.543 10
-0.084 1.441 2.492 10
-0.127 1.676 3.338 10
0.014 1.81 4.159 10
0.168 1.939 4.846 10
0.323 1.969 4.922 11
0.515 1.859 4.921 9
0.653 1.742 4.756 10
0.622 1.74 4.143 10
0.551 1.738 3.418 10
0.548 1.616 2.783 10
0.536 1.291 2.1 10
0.603 0.868 1.562 10
0.586 0.514 1.052 10
0.674 0.239 0.542 10
0.693 -0.077 0.229 10
0.64 -0.38 -0.293 10
0.473 -0.635 -0.651 10
0.322 -0.701 -1.051 10
0.178 -0.803 -1.472 10
0.117 -0.895 -1.911 10
0.071 -1.021 -2.289 10
0.029 -1.031 -2.577 10
-0.042 -1.057 -2.879 10
-0.175 -1.124 -2.815 10
-0.279 -1.175 -2.56 10
-0.466 -1.247 -2.416 10
-0.609 -1.277 -2.278 10
-0.677 -1.253 -2.136 10
-0.661 -1.188 -1.94 10
-0.569 -1.155 -1.892 10
-0.573 -1.091 -1.961 10
-0.489 -1.025 -1.998 10
-0.354 -0.966 -1.901 10
-0.267 -0.895 -1.823 10
-0.12 -0.935 -1.796 10
0.038 -0.936 -1.47 10
0.025 -0.765 -1.349 10
-0.037 -0.662 -1.352 10
-0.024 -0.588 -1.216 10
0.012 -0.555 -1.095 10
0.019 -0.447 -0.89 10
0.112 -0.334 -0.37 11
0.265 -0.292 0.174 9
0.272 -0.262 0.502 10
0.237 -0.184 0.787 10
0.265 0.143 0.933 10
0.212 0.638 0.719 10
0.225 1.048 0.931 10
0.186 1.417 1.157 10
0.184 1.732 1.395 10
0.243 1.998 1.626 10
0.064 2.324 2.041 10
-0.062 2.669 2.371 10
-0.177 2.825 2.763 10
-0.245 2.775 2.857 10
-0.186 2.627 2.494 10
0.038 2.321 1.943 10
0.155 2.183 1.171 10
0.355 2.103 0.7 10
0.707 2.031 0.587 10
0.99 1.871 0.313 10
1.037 1.554 0.135 10
0.916 1.218 0.035 10
0.506 0.777 0.213 11
0.326 0.432 0.122 19
0.095 0.078 -0.19 10
-0.086 -0.204 -0.835 10
-0.189 -0.399 -0.751 10
-0.36 -0.489 -0.625 10
-0.401 -0.543 -0.709 10
-0.258 -0.627 -1.026 10
-0.103 -0.857 -1.294 10
-0.023 -0.771 -1.733 10
-0.124 -0.875 -2.051 10
-0.224 -1.072 -2.208 10
-0.322 -1.12 -2.271 10
-0.393 -1.275 -2.217 10
-0.509 -1.423 -2.167 10
-0.622 -1.462 -2.157 10
-0.646 -1.479 -1.985 10
-0.59 -1.409 -1.7 10
-0.453 -1.32 -1.314 10
-0.425 -1.205 -1.088 10
-0.408 -1.145 -0.979 10
-0.307 -1.065 -0.924 10
-0.259 -0.889 -1.065 10
-0.276 -0.68 -1.087 10
-0.378 -0.577 -1.022 10
-0.556 -0.528 -0.825 10
-0.603 -0.466 -0.553 10
-0.526 -0.42 -0.247 10
-0.43 -0.395 -0.033 10
-0.223 -0.476 0.202 10
0.074 -0.609 0.587 10
0.377 -0.592 0.916 10
0.468 -0.541 1.04 10
0.568 -0.47 1.031 10
0.563 -0.164 0.893 10
0.394 0.248 0.657 10
0.105 0.697 0.531 10
-0.077 1.239 0.849 10
-0.069 1.701 1.677 10
0.066 2.005 2.716 10
0.318 2.236 3.608 10
0.51 2.271 4.256 10
0.554 2.207 4.589 10
0.507 2.09 4.337 10
0.543 1.881 3.894 10
0.661 1.813 3.16 10
0.612 1.744 2.327 10
0.516 1.69 1.646 10
0.387 1.676 1.119 10
0.339 1.509 0.731 10
0.314 1.203 0.408 10
0.317 0.875 0.135 10
0.26 0.443 -0.076 10
0.225 -0.014 -0.189 10
0.194 -0.418 -0.446 10
0.105 -0.781 -0.841 10
-0.094 -0.987 -1.42 10
-0.283 -1.147 -1.864 10
-0.444 -1.308 -2.212 10
-0.529 -1.393 -2.344 10
-0.536 -1.383 -2.256 10
