# Accelerometer Data File
# Started @Mon Jul 18 22:15:46 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
2.654 3.525 8.136 0
2.07 3.198 7.693 10
1.699 2.628 7.415 10
1.805 1.883 7.147 9
0.53 1.789 5.614 11
0.64 1.602 4.001 9
1.3 1.821 3.937 11
1.351 1.664 2.181 10
0.699 1.308 0.179 9
0.603 1.186 0.014 10
0.87 1.231 0.142 10
0.869 1.349 0.318 10
0.532 1.301 0.338 10
-0.046 0.826 0.898 10
-0.429 0.717 0.791 10
-0.282 0.87 0.514 10
-0.116 0.929 0.376 10
0.403 0.638 1.192 10
0.061 0.41 -0.159 10
-0.772 0.317 -1.393 10
-0.427 0.691 0.228 10
0.399 0.535 1.136 10
0.669 0.654 1.307 10
0.973 1.296 1.331 10
1.41 1.718 1.724 10
0.915 1.253 0.983 10
-0.313 1.541 -0.037 10
-0.893 2.43 -0.111 10
-0.339 2.85 -1.194 11
-0.313 0.652 -1.954 9
-0.489 -1.817 0.076 10
-0.224 -2.394 7.421 10
0.323 0.965 2.24 10
0.351 2.652 1.369 10
0.066 1.551 3.241 10
-0.173 0.775 3.123 10
-0.776 0.784 2.57 10
-0.672 0.723 2.511 11
-0.372 0.788 2.13 9
0.155 0.666 1.926 10
0.743 0.548 1.63 10
0.686 0.821 1.053 11
0.531 0.402 1.568 9
0.323 -0.326 2.204 11
0.454 -0.578 2.915 10
0.21 -0.667 2.675 9
-0.223 -0.902 2.295 10
-0.279 -1.087 1.73 10
-0.673 -1.056 0.996 11
-0.7 -1.071 0.647 10
-0.329 -0.757 0.608 10
-0.158 -0.707 0.357 10
0.09 -1.257 0.141 9
0.796 -2.355 0.816 10
0.794 -2.335 -0.351 11
-0.215 -1.102 -2.651 9
-1.444 -0.388 -3.11 11
-1.506 -0.367 -2.661 9
-0.924 -0.899 -2.386 11
-0.608 -1.171 -3.285 9
-0.297 -1.183 -4.086 10
0.128 -1.668 -4.35 10
0.348 -1.639 -4.078 11
0.356 -0.906 -3.834 9
0.2 -0.902 -3.856 10
-0.362 -0.639 -4.746 11
-0.938 0.191 -4.323 10
-1.18 0.008 -3.391 9
-1.217 -0.225 -2.672 10
-1.035 -0.892 -2.457 10
-0.604 -0.699 -2.401 11
-0.5 -0.594 -1.945 10
-0.735 -0.957 -1.561 10
-1.23 -0.155 -0.698 10
-1.65 0.144 2.129 9
-1.451 -0.317 3.769 10
-0.918 -0.699 3.297 10
-0.326 -1.155 3.149 10
1.231 -0.669 2.394 10
3.392 -0.938 4.335 10
4.139 -0.844 5.582 11
3.596 -0.389 6.713 9
2.547 -0.057 6.74 10
1.637 0.379 6.213 10
1.034 0.582 5.083 10
0.689 0.619 3.566 10
1.327 -2.157 1.132 10
2.961 -5.95 -2.324 10
3.458 -2.639 -6.246 10
0.371 1.364 -5.751 10
-3.371 5.805 -0.961 11
-1.965 3.707 0.953 9
0.126 -3.11 -1.382 11
0.476 -3.764 -3.614 9
1.936 -1.431 -1.305 10
3.027 -1.753 -2.786 10
1.931 -1.966 -4.973 11
0.6 -0.881 -4.811 9
1.445 -0.974 -2.882 10
1.111 -2.058 -2.585 10
1.06 -2.912 -1.517 10
1.29 -3.534 -1.313 10
2.359 -3.086 -1.483 11
2.77 -1.502 0.526 9
3.958 1.25 5.981 10
9.113 -1.589 3.857 11
11.701 -1.611 5.816 10
11.013 -1.484 8.13 10
9.912 -3.223 8.963 10
8.921 0.727 9.67 10
8.029 3.179 9.427 9
7.191 1.25 8.484 10
6.438 1.461 7.636 11
5.716 3.125 6.536 9
2.249 5.062 5.124 10
-1.811 3.918 3.353 10
-5.069 1.888 -0.265 10
-8.906 0.648 -1.73 10
-8.67 1.833 -1.462 10
-7.941 1.934 -5.332 10
-8.724 1.439 -5.781 10
-8.403 1.39 -6.375 10
-8.175 1.311 -7.91 10
-9.124 1.24 -8.274 10
-8.979 1.288 -7.041 10
-9.107 2.09 -6.915 10
-7.524 0.252 -8.369 10
-8.116 0.399 -7.308 11
-7.003 0.834 -6.362 9
-6.07 0.586 -6.174 10
-5.178 0.364 -5.78 10
-4.428 0.991 -5.651 10
-3.623 2.004 -5.353 10
-2.174 1.959 -4.964 10
-1.379 1.039 -4.562 10
-1.172 0.521 -3.649 10
-0.46 1.124 -2.896 10
-0.095 1.529 -1.874 10
0.491 1.16 -1.721 11
1.364 1.406 1.234 9
1.339 1.524 2.343 10
1.852 1.639 2.186 10
3.701 1.63 4.984 10
4.848 2.803 5.408 10
5.363 3.936 5.505 10
4.775 5.301 5.791 10
6.133 6.813 6.444 10
2.511 7.097 7.317 10
3.355 7.637 6.335 10
5.709 6.736 7.003 11
8.947 8.51 7.44 10
10.518 7.797 5.791 9
10.431 6.465 4.143 10
10.974 4.75 4.617 11
10.049 2.163 4.81 9
9.044 -0.353 2.933 10
5.761 -3.266 -0.221 10
1.763 -1.784 -2.199 10
-0.86 -1.976 -3.711 11
-2.11 -2.977 -4.452 10
-3.037 -4.23 -3.929 10
-3.173 -4.092 -3.062 9
-3.683 -4.493 -2.678 10
-3.306 -5.75 -3.608 10
-4.51 -7.08 -4.644 10
-4.722 -8.225 -5.49 10
-4.043 -9.221 -6.113 11
-4.009 -8.187 -7.725 9
-4.936 -6.187 -8.797 10
-6.304 -6.146 -9.227 10
-5.682 -7.488 -8.486 10
-4.734 -7.144 -6.973 10
-4.399 -6.068 -6.259 10
-4.088 -5.952 -6.038 11
-4.007 -6.176 -5.382 9
-2.994 -5.765 -3.327 10
-1.393 -4.964 -2.158 10
-1.047 -4.451 -3.408 10
-0.201 -3.566 -2.265 10
-0.793 -1.313 -3.245 11
-1.877 0.817 0.448 10
-3.025 2.795 -0.759 9
-1.74 3.929 -2.416 10
1.338 3.381 -0.709 10
2.376 2.534 0.49 10
1.173 4.66 1.717 10
-0.443 6.909 4.114 10
2.367 9.398 8.615 10
3.845 14.449 15.39 10
8.391 14.314 16.988 10
11.008 12.882 15.47 10
12.433 11.594 13.923 10
11.207 10.435 12.531 10
10.086 9.357 11.278 10
9.077 6.844 10.15 10
8.118 4.616 8.911 10
6.332 0.759 3.745 10
1.312 0.381 0.19 10
-2.465 -0.802 -4.422 10
-4.606 -3.135 -7.979 10
-6.412 -4.744 -9.603 10
-7.968 -5.347 -10.858 10
-8.956 -5.769 -10.85 10
-9.543 -6.131 -9.704 10
-9.795 -6.527 -9.001 10
-10.332 -7.184 -8.739 11
-10.988 -7.552 -9.037 10
-10.7 -6.796 -8.271 9
-9.699 -6.556 -7.065 10
-9.918 -6.288 -6.048 10
-8.676 -5.522 -3.668 10
-6.662 -1.91 -2.051 10
-4.479 -1.719 -0.053 10
-2.462 -3.65 -1.832 10
-0.57 -3.716 -0.201 10
0.727 -1.62 0.456 10
0.715 0.575 0.161 10
-0.864 0.802 0.722 10
-1.786 1.497 1.46 10
-1.099 3.02 1.917 10
0.234 4.485 3.32 10
1.572 3.441 5.151 10
0.967 0.244 5.412 10
2.947 4.745 4.104 10
7.247 9.08 10.425 10
-0.416 11.43 5.762 10
3.461 11.761 5.557 10
5.166 10.584 8.785 10
2.391 9.526 6.2 11
4.108 8.573 4.683 9
10.093 7.716 6.37 10
13.341 6.944 6.232 10
13.171 6.25 3.075 10
9.802 5.625 0.19 10
6.641 4.709 -1.672 10
2.392 2.014 -4.453 11
1.239 -0.686 -6.533 9
-0.41 -2.763 -6.965 10
-1.274 -4.099 -6.381 10
-2.318 -5.24 -6.01 10
-3.302 -6.75 -6.547 10
-3.609 -7.825 -7.417 10
