# Accelerometer Data File
# Started @Wed Jul 20 19:51:56 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-1.017 2.577 8.644 0
-0.622 2.078 7.53 9
-0.379 1.534 6.622 10
-0.298 1.441 5.787 10
-0.345 1.607 5.234 10
-0.612 1.532 5.142 10
-0.551 1.724 4.567 10
-0.237 1.767 3.878 10
-0.033 1.418 3.835 10
-0.012 1.017 3.443 10
-0.063 0.726 3.219 11
-0.229 0.576 2.931 9
-0.076 0.673 1.983 10
-0.146 0.683 1.423 10
-0.433 0.451 1.246 10
-0.597 0.449 1.07 10
-0.408 0.447 0.937 10
-0.039 0.316 0.826 10
0.102 0.259 1.571 10
0.177 0.224 1.827 10
0.142 0.253 1.222 10
0.18 0.332 0.703 11
-0.199 0.066 -0.133 9
-0.731 0.137 -0.249 10
-0.347 0.64 0.189 10
0.04 0.809 0.851 10
0.26 0.745 1.196 10
0.337 0.472 1.085 10
0.407 0.201 1.054 11
0.211 0.034 0.837 9
-0.025 0.212 0.951 10
-0.151 0.165 1.192 11
0.121 -0.023 0.849 10
0.213 -0.124 0.109 9
0.295 -0.164 0.512 10
0.317 0.059 0.59 11
0.277 0.268 0.186 9
0.266 0.181 -0.09 10
0.248 0.163 -0.357 11
0.18 0.112 -0.39 9
0.24 0.204 -0.161 11
0.31 0.141 0.509 9
0.374 -0.071 0.777 10
0.319 -0.081 0.544 10
0.253 -0.116 0.283 10
0.202 0.076 -0.012 11
0.268 0.284 -0.58 9
0.551 0.186 -0.28 10
0.832 0.064 -0.011 10
0.87 0.135 -0.01 10
0.421 0.217 0.016 11
-0.189 0.29 -0.105 9
-0.369 0.054 -0.37 10
-0.125 -0.011 -0.333 11
0.197 0.179 -0.3 10
0.496 0.256 -0.442 10
0.757 0.196 -0.605 9
0.629 0.012 -0.424 10
0.368 -0.281 0.014 10
0.047 -0.193 0.185 10
-0.121 -0.191 0.141 10
-0.152 -0.266 0.161 11
-0.188 -0.343 0.162 10
-0.126 -0.498 0.568 9
-0.122 -0.535 0.658 10
-0.006 -0.36 0.575 11
-0.04 -0.238 -0.033 9
-0.045 -0.214 -0.616 10
0.054 -0.201 -0.304 10
0.091 -0.121 0.027 10
0.065 -0.109 -0.018 11
0.032 -0.236 -0.413 9
0.003 -0.333 -0.389 10
