# Accelerometer Data File
# Started @Wed Jul 20 19:43:59 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
0.827 3.223 7.757 0
0.658 3.263 7.438 9
0.635 3.04 6.78 10
0.753 2.451 6.111 10
0.764 2.189 4.991 11
0.765 2.323 3.785 10
0.697 2.419 3.174 9
0.644 2.332 3.33 10
0.614 2.047 3.17 10
0.449 1.558 2.568 10
0.267 1.143 2.156 10
0.283 1.012 2.147 10
0.272 1.022 2.458 10
0.296 1.084 2.626 10
0.387 1.001 2.226 10
0.4 0.798 2.038 10
0.084 0.52 2.023 10
-0.268 0.295 2.071 11
-0.396 0.136 1.476 10
-0.253 0.054 1.061 10
-0.107 0.152 1.007 9
-0.183 0.3 0.871 10
-0.457 0.348 0.836 10
-0.498 0.218 0.89 10
-0.336 0.101 0.939 11
0.024 -0.028 0.44 9
0.117 -0.198 0.043 11
0.088 -0.342 -0.038 9
-0.032 -0.342 0.025 10
-0.313 -0.265 0.126 10
-0.463 -0.109 0.38 10
-0.615 0.013 0.351 11
-0.708 0.012 0.247 9
-0.276 0.269 0.127 11
0.182 0.38 0.071 9
0.388 0.351 0.193 11
0.427 0.384 0.252 9
0.099 0.286 0.416 11
-0.108 0.266 0.435 9
-0.209 -0.036 0.271 10
-0.3 -0.248 0.157 11
-0.261 -0.059 0.176 9
-0.14 -0.001 0.443 11
-0.178 0.118 0.916 10
-0.221 0.158 0.85 10
-0.173 0.056 0.627 10
-0.129 -0.026 0.642 9
-0.142 -0.075 0.396 10
-0.162 -0.059 0.167 11
-0.043 0.067 0.073 9
