# Accelerometer Data File
# Started @Wed Jul 20 22:06:38 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
0.318 6.955 6.395 0
0.554 6.148 6.074 10
0.878 5.153 5.7 10
1.109 4.216 4.699 10
1.024 3.501 3.625 10
0.723 3.099 3.539 10
0.539 3.022 3.348 10
0.398 3.099 2.841 9
0.195 2.789 1.988 10
0.072 2.303 1.238 11
0.177 1.883 0.985 9
0.4 1.79 0.92 11
0.567 1.792 0.449 10
0.76 1.509 0.361 10
0.9 1.022 -0.053 10
0.879 0.661 -0.126 10
0.825 0.586 -0.346 10
0.812 0.734 -0.311 10
0.808 0.79 0.736 9
0.624 0.677 2.102 11
-0.05 0.419 2.633 10
-0.907 0.179 2.982 10
-1.385 -0.208 2.985 10
-1.307 -0.446 2.678 9
-1.107 -0.514 2.444 11
-0.867 -0.35 2.295 9
-0.573 -0.125 2.091 11
-0.197 0.015 1.968 10
-0.194 -0.02 1.564 10
-0.597 0.059 1.132 10
-1.184 0.243 0.881 10
-1.54 0.468 0.948 10
-1.463 0.473 1.482 9
-1.213 0.357 1.868 11
-0.687 0.226 1.69 10
0.036 0.066 0.909 10
0.722 0.593 -0.431 10
-0.685 -0.439 -0.051 10
-1.755 -0.188 -0.451 10
-1.415 0.502 -0.32 10
-0.981 0.504 0.021 10
-0.684 0.22 0.226 10
-0.719 -0.189 0.436 10
-0.811 -0.713 0.436 10
-0.256 -0.891 0.237 9
0.424 -0.768 -0.208 11
0.718 -0.76 -0.687 10
0.611 -0.813 -1.23 10
0.076 -0.542 -1.142 10
-0.646 -0.272 -1.433 10
-0.849 -0.099 -1.858 10
-0.798 0.048 -1.647 9
-0.951 0.155 -0.973 11
-0.856 0.235 -0.876 10
-0.494 0.125 -0.15 10
-0.091 -0.093 0.312 10
0.149 -0.136 0.281 10
0.065 0.041 0.925 10
-0.294 -0.014 1.315 10
