# Accelerometer Data File
# Started @Mon Jul 18 22:40:24 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-0.068 3.973 7.645 0
0.067 3.455 6.777 10
0.008 3.04 6.073 10
0.025 2.84 5.466 10
0.126 2.728 4.997 10
0.07 2.567 4.592 10
-0.005 2.276 4.227 10
-0.065 1.988 3.753 10
0.01 1.763 3.317 10
-0.016 1.587 3.029 10
-0.032 1.48 2.734 9
0.1 1.28 2.271 11
0.133 1.161 2.018 10
-0.078 1.131 1.946 10
-0.156 1.147 1.906 9
0.014 1.127 2.008 11
0.029 0.894 1.842 10
0.423 -0.479 1.822 10
-0.049 0.137 -0.118 10
0.23 0.838 -0.123 10
0.509 0.617 0.94 9
0.268 0.839 1.139 11
-0.007 0.971 0.844 10
0.035 0.762 0.811 10
-0.131 0.582 1.29 10
-0.135 0.084 1.282 10
-0.113 -0.139 0.602 10
-0.033 0.012 -0.483 10
-0.107 0.054 -0.598 10
0.248 -0.123 1.719 10
1.033 1.069 2.684 10
0.326 0.79 1.244 10
-0.11 0.09 -0.716 10
-0.548 -0.133 -2.204 10
-0.062 -0.241 -0.406 10
0.349 0.119 0.34 10
-0.013 -0.237 0.754 10
-0.02 -0.144 0.17 10
-0.113 -0.216 0.067 10
-0.239 -0.108 -0.137 10
-0.259 -0.02 -0.313 10
-0.009 -0.121 -0.187 10
0.414 -0.014 0.055 10
0.648 0.038 0.024 10
0.488 -0.223 -0.21 10
-0.146 -0.563 -0.198 10
-0.502 -0.36 -0.023 10
-0.408 0.028 -0.193 10
-0.23 0.034 -0.156 10
-0.112 -0.124 -0.115 10
-0.092 -0.137 -0.069 10
-0.152 -0.313 0.092 10
-0.162 -0.299 0.342 10
0.008 -0.209 0.445 10
0.395 -0.007 0.125 10
-0.307 0.01 0.328 10
-1.043 -0.007 0.821 10
-1.223 -0.463 1.092 10
-1.015 -0.641 0.905 10
-0.405 -0.404 0.565 10
0.092 -0.036 0.612 10
0.315 0.165 0.43 10
0.215 -0.023 0.43 10
0.159 -0.124 0.292 10
0.272 -0.026 0.176 10
0.34 -0.032 -0.168 10
0.202 0.117 -0.358 10
0.044 0.183 -0.27 10
-0.192 -0.015 0.437 10
-0.276 -0.143 0.66 10
-0.145 -0.086 0.577 10
0.179 -0.008 0.166 10
0.471 0.026 -0.083 10
0.389 0.032 -0.204 10
0.273 0.038 -0.235 10
0.047 0.163 -0.16 10
-0.155 0.06 -0.135 10
-0.346 -0.203 0.093 10
-0.26 -0.191 0.291 10
-0.165 -0.189 0.244 12
-0.002 -0.222 -0.193 8
0.247 -0.174 -0.441 10
0.524 -0.217 -0.397 10
0.36 -0.023 -0.435 10
0.134 -0.038 -0.262 10
-0.24 -0.31 0.108 10
-0.113 -0.339 0.209 10
-0.153 -0.555 0.283 10
-0.077 -0.551 -0.132 10
-0.225 -0.082 -0.334 10
0.047 -0.341 -0.499 9
-0.043 -0.428 -0.389 10
0.219 -0.454 -0.022 10
0.248 -0.339 -0.08 11
0.232 -0.305 -0.098 10
0.002 -0.37 -0.114 10
-0.221 -0.419 0.034 10
-0.027 -0.213 0.083 10
-0.171 -0.295 -0.183 10
-0.395 -0.05 -0.07 10
-0.114 0.023 0.082 10
0.095 -0.091 -0.252 10
0.059 0.133 -0.408 10
0.355 0.318 -0.143 10
0.251 0.122 -0.017 10
0.225 0.032 0.493 10
0.091 0.003 0.728 9
0.004 -0.056 0.793 11
-0.013 -0.042 0.877 10
-0.063 0.03 0.824 10
0.106 0.096 0.207 10
0.311 0.061 0.031 10
0.521 0.132 -0.221 10
0.831 -0.294 0.326 10
0.981 -0.23 -0.576 10
1.434 -0.56 0.437 10
0.334 -0.565 0.454 10
-0.026 -0.784 0.382 10
0.708 -0.3 0.12 10
1.672 0.134 0.289 10
1.858 0.276 -0.11 10
1.37 0.179 -0.004 10
1.104 0.247 0.633 10
0.64 0.145 0.406 10
0.895 0.156 -0.064 10
0.874 0.201 -0.747 10
0.666 0.095 -1.0 10
0.651 -0.026 -0.814 10
0.345 -0.127 -0.715 10
0.319 -0.037 -0.523 10
0.597 -0.093 -0.238 10
0.718 -0.032 0.319 10
0.853 0.229 0.736 10
1.078 -0.078 1.222 10
1.401 0.602 -0.511 10
1.554 0.231 -1.106 10
1.425 0.199 -0.478 10
0.86 0.214 -0.06 10
0.489 -0.177 0.195 10
-0.222 -0.22 0.27 10
-0.467 -0.267 0.252 10
-0.3 -0.559 0.158 10
-0.33 -0.736 -0.374 10
-0.297 -0.464 -0.742 10
0.102 -0.219 -1.055 10
0.687 -0.258 -0.821 10
0.635 -0.628 -1.454 10
0.692 -0.548 -1.464 10
0.787 -0.45 -1.162 10
0.674 -0.465 -0.787 10
0.58 -0.488 -0.726 10
0.384 -0.448 -0.998 10
0.122 -0.704 -0.527 10
0.144 -0.763 0.162 10
0.216 -0.592 0.146 10
0.332 -0.455 0.037 10
0.445 -0.384 -0.294 10
0.547 -0.276 -0.273 10
0.596 -0.369 -0.159 10
0.795 -0.367 -0.074 10
0.862 -0.166 -0.817 10
0.646 -0.27 -1.269 9
0.297 -0.373 -1.617 11
-0.119 -0.551 -1.627 10
-0.254 -0.444 -1.387 10
-0.022 -0.21 -0.688 10
-0.054 -1.163 -0.766 10
-0.376 -2.167 -1.404 10
-0.08 -2.916 -1.152 10
-1.218 -2.598 -3.726 10
-0.631 -1.769 -4.999 10
-0.102 -1.506 -3.844 10
-0.273 -2.312 -2.503 10
-0.59 -3.089 -1.606 9
-0.609 -3.022 -1.79 11
-0.177 -2.564 -2.499 10
0.27 -2.325 -3.163 10
0.416 -2.61 -3.941 10
1.158 -2.883 -4.047 10
2.215 -2.75 -2.97 10
3.536 -2.251 -1.423 10
4.191 -1.931 -0.66 10
4.616 -2.16 -0.637 10
5.853 -1.944 -0.711 10
6.879 -1.724 -0.545 10
7.277 -1.379 -0.31 10
7.256 -0.87 -0.365 10
6.677 0.155 -0.613 10
6.052 0.071 -1.293 10
5.8 -0.685 -2.31 10
5.936 -0.979 -2.415 10
6.014 -0.915 -2.147 10
5.68 -0.643 -2.01 10
5.06 -0.251 -1.568 10
4.744 -0.364 -0.859 10
4.373 -0.043 -0.024 10
3.367 0.064 0.331 10
2.228 0.308 0.367 10
1.497 0.535 0.08 9
0.554 0.516 -0.091 11
-0.629 0.654 -0.624 10
-1.445 0.321 -0.674 10
-1.551 0.289 -0.305 10
-2.723 2.269 -10.359 10
-0.727 -2.655 5.191 10
0.62 0.601 2.129 10
0.343 0.618 1.002 10
-0.173 0.005 6.66 10
-0.957 0.892 5.882 10
-2.482 1.699 3.061 10
-2.673 1.857 2.66 10
-3.888 1.869 -0.277 10
-4.698 1.665 -1.37 10
-4.547 1.714 0.223 10
-4.497 2.447 0.545 10
-4.28 2.935 0.232 10
-3.257 2.917 1.019 10
-1.759 2.608 2.925 10
-0.265 2.33 4.339 10
0.33 2.192 3.819 10
-0.624 2.076 1.696 10
-2.363 1.981 -2.748 10
-2.024 2.455 -3.36 10
-3.312 0.735 -6.886 10
-3.791 0.222 -10.24 10
-2.774 0.915 -7.88 9
-1.54 -0.391 -4.971 11
2.328 -3.894 0.093 9
5.112 -4.297 2.575 10
5.79 -0.739 0.817 11
3.358 5.514 -1.116 10
1.031 -4.302 0.873 10
-2.562 -3.001 6.431 10
-4.848 1.754 7.021 10
-5.803 0.984 5.138 10
-5.498 0.394 3.796 10
-3.406 -0.946 3.469 10
-2.169 -1.877 1.906 10
-2.831 -1.922 0.681 10
-2.039 -0.445 -0.153 10
-1.534 0.564 -0.991 10
-3.699 -1.819 -2.331 10
-1.183 -5.473 -6.692 9
0.546 -6.003 -4.825 11
-0.102 -6.635 -3.153 10
-0.402 -7.893 0.437 10
0.818 -7.768 5.409 10
1.296 -5.974 7.153 10
-0.323 -0.024 6.679 10
0.044 1.607 3.011 10
0.178 0.024 0.142 10
1.065 -3.52 -1.449 10
0.941 -4.694 -6.001 10
1.08 0.541 -4.376 10
4.368 6.4 4.404 10
-0.533 2.984 0.818 10
-3.091 0.048 0.529 10
-3.756 -0.852 -3.427 10
-3.027 -2.697 -13.488 10
-1.199 -4.987 -20.043 10
1.058 -3.937 -11.876 10
0.78 -3.052 -2.328 10
-0.237 -2.617 1.473 10
-0.679 -2.313 3.049 10
-1.188 -1.693 4.442 10
-1.888 -0.843 5.248 10
-2.311 0.456 4.723 10
-1.865 2.539 2.466 10
1.605 2.009 1.858 10
4.228 1.481 3.68 10
2.418 0.384 2.355 10
-3.744 -4.101 0.258 10
-4.016 -2.992 -1.81 10
-2.511 -1.555 -0.637 10
-0.528 0.202 0.27 10
-0.423 0.148 1.096 10
-1.182 -0.875 2.055 10
0.762 -1.425 1.936 10
2.608 -4.928 2.527 10
1.054 -6.745 -1.888 10
-1.808 -6.467 -3.621 10
-3.188 -5.234 -3.078 10
-3.136 -3.401 -7.709 10
0.59 2.144 -8.696 10
2.91 2.757 -0.052 10
3.351 2.611 7.132 10
3.085 4.763 6.186 10
1.604 3.106 1.723 10
-0.658 0.899 -0.043 10
-2.325 2.119 0.323 10
-3.04 2.295 -0.441 10
-3.4 2.117 -2.552 10
-2.819 1.655 -5.227 10
-2.373 -0.448 -8.661 10
-1.213 0.078 -6.519 10
-1.437 -0.308 -3.436 10
-1.733 -0.493 -0.421 10
-1.576 -0.969 4.283 10
-0.565 0.17 8.113 10
-0.173 -0.424 7.336 10
0.878 -2.329 5.042 10
2.023 -3.648 2.28 10
3.432 -3.972 1.052 10
3.675 -5.075 0.998 10
3.169 -5.679 1.304 10
1.956 -4.508 0.423 10
-0.402 -3.204 -0.782 10
-2.542 -2.564 -1.738 10
-3.624 -2.308 -2.495 10
-3.934 -2.749 -3.461 10
-3.385 -2.474 -3.744 10
-3.719 -0.986 -2.964 10
-4.916 1.499 0.124 10
-6.95 2.996 0.973 10
-6.746 5.282 1.109 10
-5.071 4.211 -0.32 10
-2.297 1.393 -2.219 10
0.543 0.461 -2.678 10
1.083 3.457 -3.16 10
0.889 5.223 -1.008 10
1.429 4.666 1.264 10
2.855 -0.893 2.62 10
3.362 -5.01 0.634 10
5.362 -8.706 -0.609 10
5.377 -7.836 -1.108 10
5.753 -7.052 2.406 10
3.325 -6.347 4.57 10
-1.204 -4.161 2.898 10
-3.549 -0.064 2.746 10
-3.987 3.156 2.868 10
-4.209 3.849 -0.909 10
-4.917 3.197 -4.326 10
-5.632 3.067 -6.505 10
-5.5 3.622 -5.975 10
-3.691 4.208 -2.68 10
-1.616 4.58 0.173 10
0.062 4.527 1.268 10
1.366 4.531 1.382 10
2.341 5.06 1.416 10
3.012 4.925 1.257 10
3.314 5.131 1.045 10
3.448 5.669 1.475 10
2.81 6.119 1.569 10
1.072 5.955 0.8 10
-0.689 5.248 0.082 10
-1.801 4.826 -0.115 10
-2.526 4.809 -0.293 10
-2.704 4.742 -0.634 10
-2.545 4.793 -1.286 10
-2.084 5.064 -1.83 10
-1.445 5.187 -2.302 10
-0.611 4.978 -2.89 10
0.156 4.006 -3.291 10
0.218 3.157 -3.349 10
-0.07 2.902 -2.601 10
-0.175 2.224 -1.703 10
0.23 1.036 -1.231 10
1.267 -0.739 -1.082 10
2.666 -2.587 -1.086 10
3.89 -3.983 -2.322 10
4.725 -4.429 -3.529 10
5.252 -4.4 -3.219 10
5.347 -4.848 -2.552 10
4.942 -5.923 -2.004 10
4.379 -7.451 -2.295 10
3.648 -8.843 -0.505 10
1.688 -9.123 -0.368 10
-0.169 -9.15 -3.219 10
-0.859 -7.14 -3.862 10
-0.678 -3.995 -0.39 10
-0.696 -1.363 4.879 10
-1.713 1.401 2.926 10
-2.248 5.07 -1.322 10
-2.368 6.347 -2.077 10
-2.338 5.42 0.215 10
-2.225 4.041 2.271 10
-2.157 2.387 3.242 10
-1.554 0.02 3.443 10
-0.614 -3.205 2.84 10
0.386 -7.409 0.841 10
0.976 -10.745 1.559 10
1.318 -10.283 4.988 10
1.376 -7.522 5.282 10
1.109 -2.46 4.539 10
0.541 1.405 3.214 10
-0.003 3.471 1.634 10
-0.641 4.244 0.264 10
-0.921 3.725 -0.761 10
-1.027 2.551 -1.737 10
-1.502 0.943 -2.201 10
-1.636 -0.332 -0.774 10
-1.455 -1.005 1.018 10
-1.344 -1.456 2.623 10
-1.296 -1.966 4.05 10
-1.14 -2.605 3.826 10
-0.992 -3.068 2.822 10
-0.6 -3.52 1.54 10
-0.134 -2.203 0.473 10
-0.026 0.206 -0.168 10
-0.127 2.271 -1.401 10
-0.967 3.061 -2.339 10
-1.534 3.22 -2.079 10
-1.803 3.036 -1.871 10
-1.649 2.414 -1.253 10
-1.122 2.207 -0.679 10
-0.268 2.572 -1.706 10
0.611 2.685 -3.431 10
0.886 2.339 -4.019 10
1.03 1.873 -2.979 10
1.28 1.47 -1.388 10
1.23 1.314 -0.258 10
1.003 1.286 0.335 10
1.058 0.597 1.146 10
0.926 -0.013 1.316 10
0.618 -0.727 1.253 10
0.47 -1.12 1.516 10
0.259 -1.137 1.821 10
0.001 -1.127 1.975 10
-0.067 -1.212 1.993 10
-0.285 -1.444 1.44 10
-0.506 -2.464 1.253 10
-0.964 -3.458 0.981 10
-1.488 -3.724 0.581 10
-1.96 -3.386 0.17 10
-2.315 -2.496 0.127 10
-2.325 -1.695 0.7 10
