# Accelerometer Data File
# Started @Wed Jul 20 19:57:46 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
0.93 4.645 7.067 0
0.811 4.215 6.576 10
0.747 3.854 6.082 9
0.742 3.382 5.525 11
0.745 3.096 4.904 10
0.739 2.915 3.853 10
0.691 2.408 3.356 9
0.389 1.995 3.167 10
0.04 2.063 2.919 10
-0.325 1.425 3.273 10
-0.137 0.964 3.954 10
-0.055 1.083 3.412 10
0.183 1.466 3.562 10
1.052 2.069 2.586 10
1.481 2.017 0.827 10
1.419 1.669 -0.565 10
1.562 1.312 -0.293 10
1.793 1.233 0.417 10
0.338 0.506 1.297 10
-0.186 -0.224 1.71 11
0.289 -0.65 1.479 9
0.311 -0.844 0.452 10
-0.003 -0.561 -0.437 10
0.306 -0.281 -0.445 10
0.336 0.151 -0.314 11
0.147 0.714 -1.334 9
0.357 0.91 -1.658 10
0.278 0.405 -0.647 10
0.078 -0.79 1.071 10
0.449 -0.926 1.723 11
0.654 -0.265 1.188 9
-0.065 0.244 0.121 11
-0.895 1.064 0.376 10
-1.202 0.811 1.252 10
-0.616 -0.286 1.162 10
-0.236 -0.258 1.175 10
-0.212 0.043 1.074 10
0.239 -0.107 0.846 9
0.258 -0.294 0.175 11
0.06 0.139 -0.048 10
0.011 0.125 0.404 9
0.036 -0.11 0.924 11
0.058 -0.099 0.857 9
0.121 -0.365 0.711 11
0.281 -0.372 0.709 10
0.227 -0.309 0.44 9
0.36 -0.036 0.275 11
0.28 0.113 0.006 9
0.382 -0.078 0.23 11
0.292 -0.01 0.31 10
0.357 -0.026 0.322 10
0.054 -0.136 0.324 9
-0.217 -0.07 0.275 11
-0.29 0.177 -0.157 10
-0.098 0.108 -0.107 9
0.161 0.045 -0.087 11
0.248 0.015 -0.105 9
0.232 -0.124 0.095 10
0.33 -0.189 0.171 11
0.409 -0.049 -0.009 9
0.333 0.101 -0.154 10
0.231 -0.011 -0.191 11
0.165 -0.079 -0.163 9
-0.032 0.066 -0.181 11
-0.098 -0.009 -0.085 9
-0.079 -0.12 -0.24 10
-0.045 -0.108 -0.225 11
-0.084 -0.054 -0.237 9
-0.153 -0.195 -0.11 13
-0.086 -0.27 0.012 7
0.077 -0.174 -0.074 10
0.25 -0.105 -0.23 11
0.38 -0.086 -0.354 9
0.368 -0.026 -0.577 10
0.297 0.002 -0.597 10
0.25 -0.032 -0.485 10
0.07 -0.046 -0.394 10
-0.221 -0.145 0.102 10
-0.595 -0.234 0.789 10
-0.863 -0.202 1.098 10
-0.803 -0.199 1.402 10
-0.515 -0.153 1.21 10
-0.395 -0.103 0.796 10
-0.235 0.079 0.553 10
-0.108 0.123 -0.114 10
0.212 -0.173 -0.568 10
0.398 -0.423 -0.649 10
0.487 -0.157 -0.575 10
0.689 0.117 -0.621 10
0.749 0.088 -0.68 10
0.769 0.105 -0.336 10
0.554 0.198 0.404 10
0.369 0.212 0.992 10
