# Accelerometer Data File
# Started @Sun Jul 17 23:10:45 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:UI
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.392 6.071 6.244 0
0.095 5.87 6.789 19
-0.057 5.793 7.651 21
0.105 5.966 8.121 20
0.823 5.841 8.169 19
1.455 5.784 8.188 20
1.426 6.014 8.274 20
0.976 5.544 8.015 20
0.421 5.698 9.126 20
0.172 5.2 8.236 20
0.296 5.142 8.609 20
0.478 5.43 8.264 21
0.363 4.989 8.312 19
-0.114 4.788 8.676 21
-0.201 5.152 10.151 20
0.804 5.027 9.528 20
1.292 4.118 9.308 20
1.273 4.146 9.117 20
0.632 4.386 8.121 19
0.229 4.548 7.422 21
0.239 4.558 7.422 20
0.22 4.395 8.36 20
-0.325 4.472 9.768 70
0.766 4.232 7.651 70
0.756 4.079 8.073 69
-0.306 5.066 8.81 70
0.45 6.09 8.571 70
-0.43 6.119 9.279 20
-0.775 7.278 10.18 20
0.766 6.952 11.061 20
1.292 6.1 10.802 20
0.842 5.985 10.917 20
0.162 5.87 10.122 21
-0.603 5.707 10.247 19
-1.139 5.286 11.147 20
-1.359 4.654 11.377 20
-1.81 4.098 11.358 20
-2.298 4.137 10.496 20
-2.135 4.386 9.586 20
-1.446 4.319 9.27 20
-1.101 4.165 7.977 20
-1.005 3.993 7.814 41
-1.206 3.907 8.331 20
-1.053 3.849 8.322 19
-0.746 3.782 7.584 20
-0.248 3.667 6.493 20
-0.22 3.543 6.263 21
-0.584 3.84 5.65 19
-0.737 4.079 6.244 20
-0.421 4.414 8.887 20
-0.383 4.204 8.169 21
-0.421 4.606 8.935 19
-0.143 5.248 9.212 20
-0.009 5.449 8.59 20
0.402 5.64 8.236 21
0.871 5.315 10.352 19
1.015 4.893 10.477 21
0.957 5.094 9.308 20
1.446 5.324 9.174 19
2.193 4.395 8.427 21
2.394 4.041 9.414 19
1.972 4.108 8.35 20
1.379 4.568 8.82 20
1.101 4.702 9.471 20
1.264 4.788 9.892 20
1.551 4.807 9.212 20
1.561 4.96 6.77 20
1.407 5.41 6.167 20
1.283 5.276 6.828 20
1.379 5.334 6.569 20
1.379 5.142 7.211 20
1.541 5.19 6.703 20
0.995 5.324 6.627 21
0.383 5.784 6.751 19
0.517 6.1 6.828 20
0.679 6.56 7.881 20
0.699 6.665 9.002 20
0.363 6.579 9.567 21
-0.143 6.627 9.414 19
-0.45 6.397 9.481 20
-0.957 6.119 9.586 20
-1.283 5.679 8.513 20
-1.302 5.506 9.107 40
-1.436 5.324 9.528 20
-1.532 5.228 9.174 20
-1.637 5.506 8.571 20
-1.34 5.439 8.025 20
-0.909 5.238 9.145 20
-0.239 4.568 9.184 20
-0.316 4.137 8.437 20
-0.766 4.165 6.636 20
-1.13 4.271 5.372 20
-0.919 4.606 4.711 20
-0.344 4.204 4.424 20
0.086 4.012 5.152 20
-0.172 3.859 5.726 20
-0.44 4.156 6.215 20
-0.746 4.539 7.441 20
-0.766 5.037 8.054 20
-0.565 5.19 8.283 20
-0.497 5.401 9.337 20
-0.239 5.525 11.204 20
-0.363 5.516 11.827 20
0.0 5.439 10.639 20
-0.153 5.793 9.739 20
-0.545 6.071 8.858 20
-0.229 5.803 8.858 20
1.082 5.075 9.337 20
1.972 4.683 9.662 20
2.116 4.558 9.232 20
1.225 4.692 9.088 20
0.402 4.836 8.073 20
-0.191 5.257 6.914 20
-0.306 5.573 6.416 20
0.555 5.382 7.23 20
1.474 5.066 8.101 20
1.541 5.008 8.054 20
1.398 5.085 7.651 20
0.976 5.171 7.393 20
0.507 5.535 7.24 20
0.296 5.669 7.833 20
0.201 5.698 6.991 21
0.153 5.918 6.828 19
-0.076 6.11 6.991 40
-0.306 6.157 7.23 20
-0.316 5.947 8.379 20
-0.316 5.793 9.442 20
-0.545 5.765 9.481 20
-1.254 5.841 9.107 20
-1.589 5.947 8.762 20
-1.072 5.228 9.423 20
-0.44 4.673 9.414 20
-0.67 4.596 8.762 20
-1.149 4.769 8.35 20
-0.995 4.778 8.686 20
-0.632 4.539 9.394 20
-0.354 4.156 9.26 20
-0.296 3.869 7.987 20
-0.43 3.706 6.646 20
-0.526 3.792 6.052 20
-0.459 3.84 5.937 20
-0.354 3.801 6.598 20
-0.258 3.916 7.632 20
-0.335 4.031 8.513 20
-0.287 4.127 8.341 20
0.076 4.338 8.734 21
0.718 4.501 9.069 19
1.331 4.548 9.777 20
1.379 4.778 10.314 20
1.12 4.788 10.333 20
0.641 4.941 9.586 20
0.287 5.037 9.777 20
0.162 4.74 10.017 20
0.411 4.587 9.739 20
0.622 4.807 8.973 20
0.517 5.037 8.81 20
0.699 5.133 8.81 20
1.187 5.133 8.101 20
0.967 5.238 7.833 20
0.469 5.573 8.255 20
0.402 5.535 8.101 21
0.852 5.286 7.546 20
1.312 5.142 6.78 20
1.321 5.219 6.339 19
1.187 5.152 6.09 40
