# Accelerometer Data File
# Started @Mon Jul 18 22:21:11 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
0.724 5.404 5.369 0
0.315 4.967 3.841 10
-0.129 4.487 2.397 10
-0.478 3.857 2.2 10
-0.758 3.179 2.463 9
-0.949 2.438 2.716 11
-0.294 1.031 4.125 10
0.062 1.204 3.618 10
-0.452 2.583 1.765 10
-0.398 2.471 2.45 10
-0.177 1.871 2.679 9
-0.073 1.709 2.342 10
-0.247 1.857 2.298 10
-0.481 2.283 2.516 10
-0.57 2.555 3.161 11
-0.488 2.256 3.603 9
-0.189 1.643 3.631 10
-0.118 1.099 4.586 11
-0.089 0.955 4.61 9
0.048 1.126 4.011 10
0.121 1.065 3.231 11
0.066 0.855 2.684 10
-0.155 0.822 2.51 9
-0.209 0.894 2.104 11
-0.421 0.65 2.126 9
-0.792 0.499 2.672 11
-0.756 0.552 2.655 10
-0.361 0.462 2.699 9
0.01 0.287 2.533 11
0.173 0.086 2.15 10
0.259 0.008 1.694 10
0.25 -0.147 1.068 10
0.139 -0.365 0.487 10
0.116 -0.483 0.136 10
0.113 -0.633 -0.437 10
-0.113 -0.941 -0.824 10
-0.377 -0.881 -1.147 10
-0.512 -0.672 -1.368 10
-0.529 -0.734 -1.748 10
-0.373 -1.014 -1.978 10
-0.525 -0.956 -2.574 9
-0.119 -0.895 -2.256 11
0.159 -0.977 -2.625 10
0.358 -0.974 -2.259 10
0.4 -0.894 -2.128 9
0.644 -0.762 -1.924 11
0.813 -0.797 -1.602 10
0.766 -0.804 -1.631 10
0.663 -0.706 -1.847 10
0.485 -0.549 -1.973 9
0.333 -0.339 -2.163 11
0.024 -0.254 -2.154 10
-0.228 -0.082 -2.025 10
-0.438 0.107 -2.02 10
-0.575 0.251 -1.861 9
-0.534 0.347 -1.486 11
-0.309 0.519 -0.725 10
0.135 0.768 -0.092 10
0.346 0.812 0.588 10
0.432 0.869 0.969 10
0.613 0.92 1.467 10
0.663 0.828 1.699 10
0.545 0.745 1.719 10
0.379 0.731 1.659 10
0.16 0.744 1.243 10
-0.071 0.816 0.877 10
-0.15 0.855 0.738 9
-0.23 0.847 0.811 11
-0.224 0.84 1.074 10
-0.15 0.816 1.26 9
0.114 0.855 1.401 11
0.534 0.83 1.735 9
0.972 0.738 1.811 10
1.331 0.613 1.837 11
1.431 0.439 1.722 9
1.279 0.335 1.688 10
1.151 0.362 1.605 10
0.915 0.403 1.626 10
0.686 0.397 1.713 11
0.522 0.426 1.619 9
0.384 0.341 1.543 11
0.251 0.169 1.449 10
0.217 -0.002 1.123 9
0.161 -0.114 0.761 11
0.179 -0.163 0.556 9
0.333 -0.267 0.336 10
0.593 -0.439 0.225 10
0.827 -0.559 0.22 10
0.856 -0.598 -0.12 11
0.874 -0.736 -0.479 9
0.924 -0.912 -0.914 10
0.935 -1.011 -1.477 10
0.893 -0.987 -1.959 10
0.77 -1.0 -2.513 11
0.589 -0.943 -2.804 10
0.409 -0.849 -2.955 9
0.222 -0.721 -3.194 10
0.088 -0.683 -3.348 10
0.079 -0.658 -3.367 11
0.054 -0.592 -3.306 9
-0.002 -0.498 -3.354 10
-0.071 -0.431 -3.321 10
-0.064 -0.379 -3.083 10
-0.178 -0.247 -2.749 10
-0.324 -0.084 -2.397 10
-0.455 -0.007 -2.062 11
-0.651 0.097 -1.459 9
-0.836 0.216 -0.917 10
-1.132 0.427 -0.584 11
-1.389 0.703 -0.379 9
-1.595 0.935 -0.281 10
-1.573 1.057 -0.296 10
-1.493 1.089 -0.05 10
-1.335 1.126 0.419 11
-1.09 1.177 1.144 9
-0.826 1.206 1.59 10
-0.596 1.163 1.939 10
-0.519 1.133 1.995 11
-0.605 1.132 1.822 10
-0.683 1.225 1.562 9
-0.666 1.318 1.492 11
-0.755 1.359 1.653 9
-0.808 1.404 1.919 10
-0.857 1.462 2.399 11
-0.926 1.367 2.874 10
-0.868 1.256 3.087 9
-0.652 1.096 2.95 10
-0.518 0.909 2.578 10
-0.371 0.775 2.191 11
-0.282 0.646 1.963 9
-0.288 0.478 1.956 10
-0.44 0.309 2.079 10
-0.655 0.175 2.208 10
-0.831 0.105 2.168 10
-0.868 -0.094 1.951 10
-0.773 -0.403 1.695 10
-0.497 -0.656 1.328 10
-0.111 -0.901 0.755 10
0.278 -1.129 0.025 11
0.569 -1.275 -0.641 9
0.71 -1.337 -1.257 11
0.665 -1.35 -1.778 10
0.616 -1.396 -2.264 9
0.52 -1.472 -2.546 10
0.416 -1.497 -2.783 10
0.409 -1.494 -2.823 11
0.377 -1.491 -2.722 10
0.287 -1.359 -2.7 9
0.25 -1.275 -2.576 10
0.225 -1.199 -2.534 10
0.34 -1.113 -2.427 11
0.461 -1.097 -2.322 10
0.493 -1.039 -2.202 9
0.478 -0.883 -1.964 11
0.37 -0.683 -1.811 9
0.186 -0.528 -1.638 10
0.09 -0.424 -1.397 11
-0.004 -0.329 -1.162 10
-0.15 -0.193 -0.943 9
-0.23 0.006 -0.771 10
-0.311 0.144 -0.521 10
-0.314 0.327 -0.211 11
-0.162 0.476 0.111 10
-0.077 0.592 0.333 10
0.051 0.791 0.446 9
0.253 0.945 0.789 10
0.469 1.057 1.098 10
0.723 1.184 1.204 11
0.875 1.238 1.118 10
0.934 1.149 0.816 9
0.703 1.008 0.45 10
0.21 1.002 0.302 10
-0.232 0.953 0.366 10
-0.683 0.78 0.769 11
-0.994 0.676 1.433 9
-0.989 0.574 2.1 10
-0.623 0.387 2.683 11
0.05 0.15 3.285 9
0.76 -0.045 3.482 11
1.253 -0.282 3.108 9
1.516 -0.408 2.806 11
1.545 -0.307 2.456 10
1.408 -0.251 2.211 10
1.112 -0.225 1.981 9
0.69 -0.186 1.791 10
0.397 -0.115 1.69 11
0.142 -0.164 1.469 10
-0.035 -0.208 1.21 10
-0.101 -0.23 0.693 10
-0.047 -0.328 0.166 9
0.051 -0.433 -0.254 10
0.253 -0.493 -0.548 11
0.478 -0.521 -0.898 10
0.594 -0.59 -1.256 10
0.577 -0.729 -1.432 9
0.373 -0.777 -1.453 10
0.301 -0.733 -1.592 11
0.314 -0.755 -1.51 10
0.429 -0.783 -1.566 10
0.524 -0.791 -1.633 9
0.532 -0.841 -1.574 10
0.505 -0.851 -1.511 11
0.299 -0.758 -1.472 10
0.321 -0.69 -1.437 9
0.34 -0.561 -1.905 10
0.289 -0.453 -2.171 11
0.088 -0.184 -2.109 9
-0.162 -0.079 -2.157 10
-0.232 -0.373 -2.208 11
-0.622 -0.051 -2.703 10
-0.836 0.703 -2.639 9
-0.899 0.658 -1.962 11
-0.783 0.334 -1.757 9
-0.739 0.447 -1.46 11
-0.811 0.807 -0.961 9
-0.687 1.063 -0.589 11
-0.584 1.051 -0.263 10
-0.491 0.981 -0.047 10
-0.356 0.934 0.509 9
-0.156 0.927 0.854 10
0.091 0.972 0.915 10
0.341 0.849 0.987 11
0.332 0.566 1.432 9
0.256 0.561 1.556 11
0.101 0.746 1.434 9
-0.132 0.947 1.524 10
-0.334 1.051 1.526 10
-0.491 1.239 1.589 11
-0.51 1.347 1.654 10
-0.356 1.178 1.747 9
-0.286 0.871 1.926 10
-0.18 0.585 2.001 10
-0.231 0.372 2.145 10
-0.587 0.248 2.069 11
-0.743 0.206 2.086 9
-0.841 0.16 2.291 10
-0.878 0.135 2.303 11
