# Accelerometer Data File
# Started @Mon Jul 18 22:10:38 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-0.336 2.904 6.886 0
-0.449 2.338 6.697 10
-0.326 2.026 5.941 10
-0.302 1.703 4.899 10
-0.272 1.171 4.34 10
0.013 0.821 4.303 9
0.106 0.584 4.002 10
0.018 0.267 3.213 11
0.352 0.326 2.754 9
0.584 0.457 2.479 10
0.06 0.455 2.205 10
0.149 1.004 1.76 10
0.557 1.162 1.265 10
0.553 0.942 0.975 10
0.144 0.762 0.36 10
-0.042 0.66 -0.459 10
-0.357 0.602 -0.508 10
-0.692 0.697 0.266 11
-0.812 0.946 1.015 9
-0.317 1.326 1.525 11
0.188 1.624 1.718 9
0.428 1.625 1.537 10
0.497 1.549 1.125 10
0.602 1.489 0.762 10
0.654 1.581 0.608 11
0.39 1.613 0.746 9
0.334 1.589 1.102 10
-0.638 0.741 1.276 11
-0.686 0.322 0.933 9
-0.006 0.514 0.891 11
0.08 0.695 1.216 10
0.374 0.919 1.232 10
0.923 1.008 1.316 10
1.313 1.019 1.296 10
1.251 0.753 1.244 10
1.169 0.617 1.352 9
0.793 0.375 1.605 11
0.352 -0.007 1.574 9
0.351 -0.135 1.744 10
0.247 -0.087 1.242 11
0.394 0.326 0.678 9
0.777 0.655 0.334 11
1.01 0.434 0.318 9
1.478 -0.367 2.251 11
1.735 -0.519 1.707 10
1.639 0.678 1.993 9
0.915 0.532 0.432 10
0.487 0.117 -0.179 10
0.206 -0.04 -0.264 11
-0.219 -0.122 -0.014 10
-0.378 -0.308 0.211 9
-0.409 -0.252 0.396 11
-0.291 -0.028 -0.013 10
-0.184 -0.12 0.117 10
0.109 -0.375 0.691 10
0.236 -0.682 0.829 9
0.23 -0.899 0.798 11
0.034 -0.852 0.304 10
-0.227 -0.775 -0.13 9
-0.463 -0.577 -0.695 11
-0.485 -0.433 -1.237 9
-0.575 -0.364 -1.363 11
-0.689 -0.465 -0.977 10
-0.517 -0.591 -0.526 9
0.042 -0.609 -0.275 10
-0.013 -0.669 -0.497 10
